ACC=0.429628, f1_macro=0.379690, precision_macro=0.412601, recall_macro=0.400053, f1_micro=0.429628, precision_micro=0.429628, recall_micro=0.429628, NMI=0.219937, ADJ_RAND_SCORE=0.200412
ACC=0.529455, f1_macro=0.498996, precision_macro=0.499682, recall_macro=0.530458, f1_micro=0.529455, precision_micro=0.529455, recall_micro=0.529455, NMI=0.426489, ADJ_RAND_SCORE=0.373548
ACC=0.650974, f1_macro=0.588270, precision_macro=0.583428, recall_macro=0.634576, f1_micro=0.650974, precision_micro=0.650974, recall_micro=0.650974, NMI=0.532059, ADJ_RAND_SCORE=0.507278
ACC=0.653439, f1_macro=0.589375, precision_macro=0.581866, recall_macro=0.637416, f1_micro=0.653439, precision_micro=0.653439, recall_micro=0.653439, NMI=0.539032, ADJ_RAND_SCORE=0.514934
ACC=0.846685, f1_macro=0.833246, precision_macro=0.838636, recall_macro=0.832586, f1_micro=0.846685, precision_micro=0.846685, recall_micro=0.846685, NMI=0.638649, ADJ_RAND_SCORE=0.670284
ACC=0.846685, f1_macro=0.833246, precision_macro=0.838636, recall_macro=0.832586, f1_micro=0.846685, precision_micro=0.846685, recall_micro=0.846685, NMI=0.638649, ADJ_RAND_SCORE=0.670284
ACC=0.846192, f1_macro=0.832623, precision_macro=0.838055, recall_macro=0.831915, f1_micro=0.846192, precision_micro=0.846192, recall_micro=0.846192, NMI=0.637401, ADJ_RAND_SCORE=0.669400
ACC=0.846685, f1_macro=0.833261, precision_macro=0.838686, recall_macro=0.832586, f1_micro=0.846685, precision_micro=0.846685, recall_micro=0.846685, NMI=0.638279, ADJ_RAND_SCORE=0.670112
ACC=0.846438, f1_macro=0.832426, precision_macro=0.836575, recall_macro=0.831879, f1_micro=0.846438, precision_micro=0.846438, recall_micro=0.846438, NMI=0.636353, ADJ_RAND_SCORE=0.671742
ACC=0.847178, f1_macro=0.833561, precision_macro=0.837446, recall_macro=0.833141, f1_micro=0.847178, precision_micro=0.847178, recall_micro=0.847178, NMI=0.637123, ADJ_RAND_SCORE=0.672493
ACC=0.847178, f1_macro=0.833561, precision_macro=0.837446, recall_macro=0.833141, f1_micro=0.847178, precision_micro=0.847178, recall_micro=0.847178, NMI=0.637123, ADJ_RAND_SCORE=0.672493
ACC=0.851861, f1_macro=0.838472, precision_macro=0.842522, recall_macro=0.837961, f1_micro=0.851861, precision_micro=0.851861, recall_micro=0.851861, NMI=0.647008, ADJ_RAND_SCORE=0.681672
ACC=0.850629, f1_macro=0.837630, precision_macro=0.841054, recall_macro=0.837484, f1_micro=0.850629, precision_micro=0.850629, recall_micro=0.850629, NMI=0.645542, ADJ_RAND_SCORE=0.679573
ACC=0.850629, f1_macro=0.837630, precision_macro=0.841054, recall_macro=0.837484, f1_micro=0.850629, precision_micro=0.850629, recall_micro=0.850629, NMI=0.645542, ADJ_RAND_SCORE=0.679573
ACC=0.850382, f1_macro=0.837363, precision_macro=0.840972, recall_macro=0.837216, f1_micro=0.850382, precision_micro=0.850382, recall_micro=0.850382, NMI=0.646052, ADJ_RAND_SCORE=0.679097
ACC=0.437269, f1_macro=0.385183, precision_macro=0.416122, recall_macro=0.406936, f1_micro=0.437269, precision_micro=0.437269, recall_micro=0.437269, NMI=0.226709, ADJ_RAND_SCORE=0.208056
ACC=0.532413, f1_macro=0.499531, precision_macro=0.498956, recall_macro=0.534102, f1_micro=0.532413, precision_micro=0.532413, recall_micro=0.532413, NMI=0.439281, ADJ_RAND_SCORE=0.378665
ACC=0.653192, f1_macro=0.589842, precision_macro=0.578766, recall_macro=0.637868, f1_micro=0.653192, precision_micro=0.653192, recall_micro=0.653192, NMI=0.523265, ADJ_RAND_SCORE=0.504947
